is_concurrent,pop_size,num_species,mean_ms_step_mean,speedup
0,6144,25,38.025,13.387
0,6144,26,39.566,13.835
0,6144,27,41.095,14.181
0,6144,28,42.655,14.601
0,6144,29,44.003,14.925
0,6144,30,45.700,15.354
0,6144,31,47.259,15.751
0,6144,32,48.664,14.250
0,7168,1,1.741,1.002
0,7168,2,3.453,1.960
0,7168,3,5.147,2.901
0,7168,4,6.856,3.807
0,7168,5,8.553,4.673
0,7168,6,10.278,5.528
0,7168,7,12.015,5.821
0,7168,8,13.842,6.562
0,7168,9,15.641,7.299
0,7168,10,17.580,8.056
0,7168,11,19.470,8.683
0,7168,12,21.331,9.394
0,7168,13,23.057,9.992
0,7168,14,24.873,10.687
0,7168,15,26.627,9.143
0,7168,16,28.441,9.468
0,7168,17,30.246,9.974
0,7168,18,31.904,10.469
0,7168,19,33.829,10.963
0,7168,20,35.500,11.485
0,7168,21,37.254,11.904
0,7168,22,39.128,12.269
0,7168,23,40.927,12.739
0,7168,24,42.640,13.143
0,7168,25,44.368,13.502
0,7168,26,46.108,13.913
0,7168,27,47.989,12.621
0,7168,28,49.755,12.864
0,7168,29,51.493,13.027
0,7168,30,53.353,13.319
0,7168,31,55.038,13.623
0,7168,32,56.868,14.023
0,8192,1,1.979,1.001
0,8192,2,3.908,1.958
0,8192,3,5.869,2.892
0,8192,4,7.787,3.816
0,8192,5,9.735,4.720
0,8192,6,11.676,5.609
0,8192,7,13.655,5.861
0,8192,8,15.696,6.534
0,8192,9,17.834,7.290
0,8192,10,19.994,8.090
0,8192,11,22.177,8.828
0,8192,12,24.206,9.516
0,8192,13,26.319,10.166
0,8192,14,28.379,8.898
0,8192,15,30.296,9.407
0,8192,16,32.352,9.969
0,8192,17,34.456,10.474
0,8192,18,36.345,10.767
0,8192,19,38.429,10.920
0,8192,20,40.451,11.385
0,8192,21,42.425,11.822
0,8192,22,44.466,12.253
0,8192,23,46.470,12.655
0,8192,24,48.417,13.068
0,8192,25,50.558,11.894
0,8192,26,52.544,11.965
0,8192,27,54.663,12.286
0,8192,28,56.639,12.606
0,8192,29,58.645,12.936
0,8192,30,60.631,13.250
0,8192,31,62.644,13.564
0,8192,32,64.648,13.878
