is_concurrent,pop_size,num_species,mean_ms_step_mean
1,128,19,0.896
1,128,20,0.942
1,128,21,0.980
1,128,22,1.028
1,128,23,1.075
1,128,24,1.109
1,128,25,1.158
1,128,26,1.205
1,128,27,1.259
1,128,28,1.296
1,128,29,1.337
1,128,30,1.384
1,128,31,1.436
1,128,32,1.480
1,256,1,0.110
1,256,2,0.154
1,256,3,0.200
1,256,4,0.255
1,256,5,0.301
1,256,6,0.364
1,256,7,0.411
1,256,8,0.464
1,256,9,0.495
1,256,10,0.529
1,256,11,0.584
1,256,12,0.649
1,256,13,0.692
1,256,14,0.716
1,256,15,0.769
1,256,16,0.816
1,256,17,0.871
1,256,18,0.916
1,256,19,0.971
1,256,20,1.005
1,256,21,1.064
1,256,22,1.112
1,256,23,1.158
1,256,24,1.202
1,256,25,1.254
1,256,26,1.300
1,256,27,1.352
1,256,28,1.403
1,256,29,1.438
1,256,30,1.495
1,256,31,1.546
1,256,32,1.592
1,384,1,0.129
1,384,2,0.186
1,384,3,0.234
1,384,4,0.282
1,384,5,0.320
1,384,6,0.370
1,384,7,0.453
1,384,8,0.495
1,384,9,0.536
1,384,10,0.576
1,384,11,0.635
1,384,12,0.679
1,384,13,0.772
1,384,14,0.793
1,384,15,0.818
1,384,16,0.901
1,384,17,0.944
1,384,18,1.000
1,384,19,1.024
1,384,20,1.088
1,384,21,1.143
1,384,22,1.209
1,384,23,1.237
1,384,24,1.283
1,384,25,1.359
1,384,26,1.391
1,384,27,1.438
1,384,28,1.497
1,384,29,1.530
1,384,30,1.615
1,384,31,1.639
1,384,32,1.715
1,512,1,0.150
1,512,2,0.205
1,512,3,0.259
1,512,4,0.327
1,512,5,0.371
1,512,6,0.426
1,512,7,0.516
1,512,8,0.549
1,512,9,0.621
1,512,10,0.707
1,512,11,0.732
1,512,12,0.790
1,512,13,0.828
1,512,14,0.929
1,512,15,0.975
1,512,16,0.997
1,512,17,1.079
1,512,18,1.135
1,512,19,1.178
1,512,20,1.240
1,512,21,1.307
1,512,22,1.374
1,512,23,1.416
1,512,24,1.470
1,512,25,1.572
1,512,26,1.600
1,512,27,1.646
1,512,28,1.722
1,512,29,1.774
1,512,30,1.855
1,512,31,1.888
1,512,32,1.938
1,640,1,0.190
1,640,2,0.247
1,640,3,0.290
1,640,4,0.405
1,640,5,0.460
1,640,6,0.462
1,640,7,0.534
1,640,8,0.587
1,640,9,0.637
1,640,10,0.715
1,640,11,0.791
1,640,12,0.812
1,640,13,0.908
1,640,14,0.945
1,640,15,1.033
1,640,16,1.074
1,640,17,1.121
