is_concurrent,pop_size,num_species,mean_ms_step_mean,speedup
0,7168,20,21.559,4.969
0,7168,21,23.133,5.020
0,7168,22,23.722,4.966
0,7168,23,24.797,5.028
0,7168,24,25.865,5.206
0,7168,25,26.949,5.324
0,7168,26,27.969,5.300
0,7168,27,29.202,4.955
0,7168,28,30.191,4.928
0,7168,29,31.565,4.872
0,7168,30,32.342,4.898
0,7168,31,33.405,4.972
0,7168,32,34.609,5.086
0,8192,1,1.244,1.001
0,8192,2,2.453,1.838
0,8192,3,3.664,2.574
0,8192,4,4.871,3.198
0,8192,5,6.188,3.820
0,8192,6,7.293,4.245
0,8192,7,8.781,3.948
0,8192,8,9.734,4.188
0,8192,9,10.991,4.542
0,8192,10,12.637,4.999
0,8192,11,13.520,5.151
0,8192,12,14.827,5.450
0,8192,13,16.051,4.126
0,8192,14,17.291,3.995
0,8192,15,18.575,4.176
0,8192,16,19.792,4.350
0,8192,17,21.169,4.566
0,8192,18,23.376,4.744
0,8192,19,23.651,4.706
0,8192,20,24.868,4.989
0,8192,21,26.073,5.128
0,8192,22,27.386,5.277
0,8192,23,28.601,5.402
0,8192,24,30.308,5.623
0,8192,25,31.123,4.597
0,8192,26,32.329,4.668
0,8192,27,33.644,4.747
0,8192,28,34.860,4.836
0,8192,29,36.653,5.009
0,8192,30,37.840,5.102
0,8192,31,38.716,5.132
0,8192,32,39.835,5.213
