is_concurrent,pop_size,num_species,mean_ms_step_mean,speedup
0,1024,3,0.692,1.489
0,1024,4,0.975,2.034
0,1024,5,1.153,2.082
0,1024,6,1.411,2.081
0,1024,7,1.594,2.127
0,1024,8,1.812,2.288
0,1024,9,2.043,2.283
0,1024,10,2.344,2.452
0,1024,11,2.537,2.493
0,1024,12,2.766,2.514
0,1024,13,2.997,2.351
0,1024,14,3.215,2.559
0,1024,15,3.401,2.408
0,1024,16,3.687,2.469
0,1024,17,3.837,2.441
0,1024,18,4.068,2.493
0,1024,19,4.414,2.476
0,1024,20,4.663,2.594
0,1024,21,4.851,2.626
0,1024,22,5.004,2.602
0,1024,23,5.258,2.611
0,1024,24,5.538,2.581
0,1024,25,5.718,2.630
0,1024,26,6.045,2.659
0,1024,27,6.080,2.646
0,1024,28,6.508,2.611
0,1024,29,6.787,2.707
0,1024,30,6.928,2.660
0,1024,31,7.013,2.642
0,1024,32,7.327,2.634
