is_concurrent,pop_size,num_species,mean_ms_step_mean,speedup
0,1024,3,0.808,2.444
0,1024,4,1.068,3.043
0,1024,5,1.329,3.557
0,1024,6,1.586,3.977
0,1024,7,1.848,4.423
0,1024,8,2.107,4.837
0,1024,9,2.367,5.179
0,1024,10,2.627,5.499
0,1024,11,2.883,5.730
0,1024,12,3.149,6.043
0,1024,13,3.415,6.312
0,1024,14,3.668,6.515
0,1024,15,3.928,6.713
0,1024,16,4.191,6.957
0,1024,17,4.453,7.122
0,1024,18,4.703,7.274
0,1024,19,4.967,7.431
0,1024,20,5.215,7.559
0,1024,21,5.478,7.690
0,1024,22,5.727,7.785
0,1024,23,5.991,7.895
0,1024,24,6.269,8.086
0,1024,25,6.505,8.113
0,1024,26,6.769,8.241
0,1024,27,7.024,8.326
0,1024,28,7.295,8.429
0,1024,29,7.542,8.475
0,1024,30,7.801,8.570
0,1024,31,8.072,8.691
0,1024,32,8.322,8.742
