is_concurrent,pop_size,num_species,mean_ms_step_mean
1,128,19,0.440
1,128,20,0.459
1,128,21,0.481
1,128,22,0.502
1,128,23,0.521
1,128,24,0.542
1,128,25,0.565
1,128,26,0.586
1,128,27,0.607
1,128,28,0.628
1,128,29,0.649
1,128,30,0.669
1,128,31,0.688
1,128,32,0.709
1,256,1,0.105
1,256,2,0.126
1,256,3,0.146
1,256,4,0.167
1,256,5,0.188
1,256,6,0.207
1,256,7,0.226
1,256,8,0.247
1,256,9,0.268
1,256,10,0.288
1,256,11,0.308
1,256,12,0.329
1,256,13,0.349
1,256,14,0.369
1,256,15,0.389
1,256,16,0.407
1,256,17,0.430
1,256,18,0.451
1,256,19,0.471
1,256,20,0.491
1,256,21,0.511
1,256,22,0.533
1,256,23,0.555
1,256,24,0.573
1,256,25,0.595
1,256,26,0.618
1,256,27,0.638
1,256,28,0.661
1,256,29,0.681
1,256,30,0.701
1,256,31,0.724
1,256,32,0.745
1,384,1,0.135
1,384,2,0.158
1,384,3,0.177
1,384,4,0.197
1,384,5,0.219
1,384,6,0.240
1,384,7,0.261
1,384,8,0.282
1,384,9,0.302
1,384,10,0.320
1,384,11,0.341
1,384,12,0.362
1,384,13,0.382
1,384,14,0.402
1,384,15,0.423
1,384,16,0.443
1,384,17,0.466
1,384,18,0.486
1,384,19,0.507
1,384,20,0.528
1,384,21,0.548
1,384,22,0.570
1,384,23,0.590
1,384,24,0.611
1,384,25,0.634
1,384,26,0.656
1,384,27,0.679
1,384,28,0.701
1,384,29,0.721
1,384,30,0.742
1,384,31,0.763
1,384,32,0.784
1,512,1,0.166
1,512,2,0.186
1,512,3,0.206
1,512,4,0.225
1,512,5,0.247
1,512,6,0.267
1,512,7,0.287
1,512,8,0.307
1,512,9,0.328
1,512,10,0.349
1,512,11,0.370
1,512,12,0.390
1,512,13,0.409
1,512,14,0.430
1,512,15,0.454
1,512,16,0.470
1,512,17,0.493
1,512,18,0.513
1,512,19,0.534
1,512,20,0.555
1,512,21,0.577
1,512,22,0.597
1,512,23,0.617
1,512,24,0.639
1,512,25,0.661
1,512,26,0.684
1,512,27,0.705
1,512,28,0.726
1,512,29,0.749
1,512,30,0.768
1,512,31,0.790
1,512,32,0.812
1,640,1,0.199
1,640,2,0.219
1,640,3,0.241
1,640,4,0.262
1,640,5,0.282
1,640,6,0.304
1,640,7,0.329
1,640,8,0.348
1,640,9,0.366
1,640,10,0.386
1,640,11,0.409
1,640,12,0.432
1,640,13,0.449
1,640,14,0.470
1,640,15,0.490
1,640,16,0.510
1,640,17,0.534
1,640,18,0.555
1,640,19,0.574
1,640,20,0.597
1,640,21,0.619
1,640,22,0.638
1,640,23,0.659
1,640,24,0.680
1,640,25,0.703
1,640,26,0.725
1,640,27,0.747
1,640,28,0.769
1,640,29,0.791
1,640,30,0.814
1,640,31,0.836
1,640,32,0.853
1,768,1,0.228
1,768,2,0.252
1,768,3,0.272
1,768,4,0.292
1,768,5,0.314
1,768,6,0.335
1,768,7,0.359
1,768,8,0.380
1,768,9,0.397
1,768,10,0.419
1,768,11,0.442
1,768,12,0.462
1,768,13,0.482
1,768,14,0.503
1,768,15,0.524
1,768,16,0.546
1,768,17,0.570
1,768,18,0.588
1,768,19,0.610
1,768,20,0.631
1,768,21,0.652
1,768,22,0.676
1,768,23,0.697
1,768,24,0.718
1,768,25,0.741
1,768,26,0.765
1,768,27,0.785
1,768,28,0.807
1,768,29,0.828
1,768,30,0.852
1,768,31,0.872
1,768,32,0.895
1,896,1,0.259
1,896,2,0.282
1,896,3,0.302
1,896,4,0.324
1,896,5,0.346
1,896,6,0.366
1,896,7,0.389
1,896,8,0.409
1,896,9,0.431
1,896,10,0.452
1,896,11,0.474
1,896,12,0.495
1,896,13,0.517
1,896,14,0.537
1,896,15,0.560
1,896,16,0.578
1,896,17,0.601
1,896,18,0.622
1,896,19,0.645
1,896,20,0.665
1,896,21,0.687
1,896,22,0.714
1,896,23,0.734
1,896,24,0.755
1,896,25,0.777
1,896,26,0.802
1,896,27,0.823
1,896,28,0.844
1,896,29,0.867
1,896,30,0.890
1,896,31,0.912
1,896,32,0.935
1,1024,1,0.288
1,1024,2,0.311
1,1024,3,0.331
1,1024,4,0.351
1,1024,5,0.374
1,1024,6,0.399
1,1024,7,0.418
1,1024,8,0.436
1,1024,9,0.457
1,1024,10,0.478
1,1024,11,0.503
1,1024,12,0.521
1,1024,13,0.541
1,1024,14,0.563
1,1024,15,0.585
1,1024,16,0.602
1,1024,17,0.625
1,1024,18,0.646
1,1024,19,0.668
1,1024,20,0.690
1,1024,21,0.712
1,1024,22,0.736
1,1024,23,0.759
1,1024,24,0.775
1,1024,25,0.802
1,1024,26,0.821
1,1024,27,0.844
1,1024,28,0.866
1,1024,29,0.890
1,1024,30,0.910
1,1024,31,0.929
1,1024,32,0.952
