is_concurrent,pop_size,num_species,mean_s_step_mean,speedup
0,7168,20,0.054,4.725
0,7168,21,0.057,4.845
0,7168,22,0.060,4.965
0,7168,23,0.062,5.089
0,7168,24,0.065,5.210
0,7168,25,0.068,5.320
0,7168,26,0.071,5.429
0,7168,27,0.073,4.931
0,7168,28,0.076,4.752
0,7168,29,0.079,4.825
0,7168,30,0.081,4.902
0,7168,31,0.084,4.920
0,7168,32,0.087,4.977
0,8192,1,0.003,0.998
0,8192,2,0.006,1.845
0,8192,3,0.009,2.588
0,8192,4,0.012,3.217
0,8192,5,0.015,3.785
0,8192,6,0.018,4.298
0,8192,7,0.021,3.836
0,8192,8,0.025,4.199
0,8192,9,0.028,4.535
0,8192,10,0.031,4.815
0,8192,11,0.034,5.107
0,8192,12,0.037,5.379
0,8192,13,0.040,3.875
0,8192,14,0.043,3.924
0,8192,15,0.046,4.092
0,8192,16,0.049,4.280
0,8192,17,0.052,4.418
0,8192,18,0.055,4.595
0,8192,19,0.058,4.740
0,8192,20,0.061,4.881
0,8192,21,0.064,5.028
0,8192,22,0.068,5.173
0,8192,23,0.071,5.308
0,8192,24,0.074,5.445
0,8192,25,0.077,4.497
0,8192,26,0.080,4.549
0,8192,27,0.083,4.652
0,8192,28,0.086,4.739
0,8192,29,0.089,4.841
0,8192,30,0.092,4.931
0,8192,31,0.095,5.028
0,8192,32,0.099,5.118
