is_concurrent,pop_size,num_species,mean_s_step_mean
0,8192,29,0.089
0,8192,30,0.092
0,8192,31,0.095
0,8192,32,0.099
1,1024,1,0.001
1,1024,2,0.001
1,1024,3,0.001
1,1024,4,0.001
1,1024,5,0.001
1,1024,6,0.001
1,1024,7,0.001
1,1024,8,0.001
1,1024,9,0.002
1,1024,10,0.002
1,1024,11,0.002
1,1024,12,0.002
1,1024,13,0.002
1,1024,14,0.002
1,1024,15,0.002
1,1024,16,0.002
1,1024,17,0.003
1,1024,18,0.003
1,1024,19,0.003
1,1024,20,0.003
1,1024,21,0.003
1,1024,22,0.003
1,1024,23,0.003
1,1024,24,0.003
1,1024,25,0.004
1,1024,26,0.004
1,1024,27,0.004
1,1024,28,0.004
1,1024,29,0.004
1,1024,30,0.004
1,1024,31,0.004
1,1024,32,0.004
1,2048,1,0.001
1,2048,2,0.001
1,2048,3,0.001
1,2048,4,0.001
1,2048,5,0.001
1,2048,6,0.002
1,2048,7,0.002
1,2048,8,0.002
1,2048,9,0.002
1,2048,10,0.002
1,2048,11,0.002
1,2048,12,0.002
1,2048,13,0.002
1,2048,14,0.003
1,2048,15,0.003
1,2048,16,0.003
1,2048,17,0.003
1,2048,18,0.003
1,2048,19,0.003
1,2048,20,0.003
1,2048,21,0.004
1,2048,22,0.004
1,2048,23,0.004
1,2048,24,0.004
1,2048,25,0.004
1,2048,26,0.004
1,2048,27,0.004
1,2048,28,0.005
1,2048,29,0.005
1,2048,30,0.005
1,2048,31,0.005
1,2048,32,0.005
1,3072,1,0.001
1,3072,2,0.001
1,3072,3,0.001
1,3072,4,0.002
1,3072,5,0.002
1,3072,6,0.002
1,3072,7,0.002
1,3072,8,0.002
1,3072,9,0.002
1,3072,10,0.002
1,3072,11,0.003
1,3072,12,0.003
1,3072,13,0.003
1,3072,14,0.003
1,3072,15,0.003
1,3072,16,0.003
1,3072,17,0.004
1,3072,18,0.004
1,3072,19,0.004
1,3072,20,0.004
1,3072,21,0.004
1,3072,22,0.004
1,3072,23,0.005
1,3072,24,0.005
1,3072,25,0.005
1,3072,26,0.005
1,3072,27,0.005
1,3072,28,0.005
1,3072,29,0.005
1,3072,30,0.006
1,3072,31,0.006
1,3072,32,0.006
1,4096,1,0.002
1,4096,2,0.002
1,4096,3,0.002
1,4096,4,0.002
1,4096,5,0.002
1,4096,6,0.002
1,4096,7,0.002
1,4096,8,0.003
1,4096,9,0.003
1,4096,10,0.003
1,4096,11,0.003
1,4096,12,0.004
1,4096,13,0.004
1,4096,14,0.004
1,4096,15,0.004
1,4096,16,0.004
1,4096,17,0.004
1,4096,18,0.005
1,4096,19,0.005
1,4096,20,0.005
1,4096,21,0.005
1,4096,22,0.005
1,4096,23,0.006
1,4096,24,0.006
1,4096,25,0.007
1,4096,26,0.007
1,4096,27,0.007
1,4096,28,0.008
1,4096,29,0.008
1,4096,30,0.008
1,4096,31,0.008
1,4096,32,0.008
1,5120,1,0.002
1,5120,2,0.002
1,5120,3,0.002
1,5120,4,0.003
1,5120,5,0.003
1,5120,6,0.003
1,5120,7,0.003
1,5120,8,0.004
1,5120,9,0.004
1,5120,10,0.004
1,5120,11,0.005
1,5120,12,0.005
1,5120,13,0.005
1,5120,14,0.006
1,5120,15,0.006
1,5120,16,0.006
1,5120,17,0.006
1,5120,18,0.007
1,5120,19,0.007
1,5120,20,0.007
1,5120,21,0.009
1,5120,22,0.009
1,5120,23,0.009
1,5120,24,0.010
1,5120,25,0.010
1,5120,26,0.010
1,5120,27,0.011
1,5120,28,0.011
