is_concurrent,pop_size,num_species,mean_s_step_mean
1,128,19,0.002
1,128,20,0.002
1,128,21,0.002
1,128,22,0.002
1,128,23,0.002
1,128,24,0.002
1,128,25,0.003
1,128,26,0.003
1,128,27,0.003
1,128,28,0.003
1,128,29,0.003
1,128,30,0.003
1,128,31,0.003
1,128,32,0.003
1,256,1,0.000
1,256,2,0.000
1,256,3,0.000
1,256,4,0.000
1,256,5,0.001
1,256,6,0.001
1,256,7,0.001
1,256,8,0.001
1,256,9,0.001
1,256,10,0.001
1,256,11,0.001
1,256,12,0.001
1,256,13,0.001
1,256,14,0.002
1,256,15,0.002
1,256,16,0.002
1,256,17,0.002
1,256,18,0.002
1,256,19,0.002
1,256,20,0.002
1,256,21,0.002
1,256,22,0.002
1,256,23,0.002
1,256,24,0.003
1,256,25,0.003
1,256,26,0.003
1,256,27,0.003
1,256,28,0.003
1,256,29,0.003
1,256,30,0.003
1,256,31,0.003
1,256,32,0.003
1,384,1,0.000
1,384,2,0.000
1,384,3,0.000
1,384,4,0.001
1,384,5,0.001
1,384,6,0.001
1,384,7,0.001
1,384,8,0.001
1,384,9,0.001
1,384,10,0.001
1,384,11,0.001
1,384,12,0.001
1,384,13,0.002
1,384,14,0.002
1,384,15,0.002
1,384,16,0.002
1,384,17,0.002
1,384,18,0.002
1,384,19,0.002
1,384,20,0.002
1,384,21,0.002
1,384,22,0.002
1,384,23,0.003
1,384,24,0.003
1,384,25,0.003
1,384,26,0.003
1,384,27,0.003
1,384,28,0.003
1,384,29,0.003
1,384,30,0.003
1,384,31,0.003
1,384,32,0.004
1,512,1,0.000
1,512,2,0.000
1,512,3,0.000
1,512,4,0.001
1,512,5,0.001
1,512,6,0.001
1,512,7,0.001
1,512,8,0.001
1,512,9,0.001
1,512,10,0.001
1,512,11,0.001
1,512,12,0.001
1,512,13,0.002
1,512,14,0.002
1,512,15,0.002
1,512,16,0.002
1,512,17,0.002
1,512,18,0.002
1,512,19,0.002
1,512,20,0.002
1,512,21,0.003
1,512,22,0.003
1,512,23,0.003
1,512,24,0.003
1,512,25,0.003
1,512,26,0.003
1,512,27,0.003
1,512,28,0.003
1,512,29,0.003
1,512,30,0.004
1,512,31,0.004
1,512,32,0.004
1,640,1,0.000
1,640,2,0.000
1,640,3,0.001
1,640,4,0.001
1,640,5,0.001
1,640,6,0.001
1,640,7,0.001
1,640,8,0.001
1,640,9,0.001
1,640,10,0.001
1,640,11,0.001
1,640,12,0.002
1,640,13,0.002
1,640,14,0.002
1,640,15,0.002
1,640,16,0.002
1,640,17,0.002
1,640,18,0.002
1,640,19,0.002
1,640,20,0.003
1,640,21,0.003
1,640,22,0.003
1,640,23,0.003
1,640,24,0.003
1,640,25,0.003
1,640,26,0.003
1,640,27,0.003
1,640,28,0.003
1,640,29,0.004
1,640,30,0.004
1,640,31,0.004
1,640,32,0.004
1,768,1,0.000
1,768,2,0.001
1,768,3,0.001
1,768,4,0.001
1,768,5,0.001
1,768,6,0.001
1,768,7,0.001
1,768,8,0.001
1,768,9,0.001
1,768,10,0.001
1,768,11,0.002
1,768,12,0.002
1,768,13,0.002
1,768,14,0.002
1,768,15,0.002
1,768,16,0.002
1,768,17,0.002
1,768,18,0.002
1,768,19,0.003
1,768,20,0.003
1,768,21,0.003
1,768,22,0.003
1,768,23,0.003
1,768,24,0.003
1,768,25,0.003
1,768,26,0.003
1,768,27,0.004
1,768,28,0.004
1,768,29,0.004
1,768,30,0.004
1,768,31,0.004
1,768,32,0.004
1,896,1,0.000
1,896,2,0.001
1,896,3,0.001
1,896,4,0.001
1,896,5,0.001
1,896,6,0.001
1,896,7,0.001
1,896,8,0.001
1,896,9,0.001
1,896,10,0.002
1,896,11,0.002
1,896,12,0.002
1,896,13,0.002
1,896,14,0.002
1,896,15,0.002
1,896,16,0.002
1,896,17,0.002
1,896,18,0.002
1,896,19,0.003
1,896,20,0.003
1,896,21,0.003
1,896,22,0.003
1,896,23,0.003
1,896,24,0.003
1,896,25,0.003
1,896,26,0.003
1,896,27,0.004
1,896,28,0.004
1,896,29,0.004
1,896,30,0.004
1,896,31,0.004
1,896,32,0.004
1,1024,1,0.001
1,1024,2,0.001
1,1024,3,0.001
1,1024,4,0.001
1,1024,5,0.001
1,1024,6,0.001
1,1024,7,0.001
1,1024,8,0.001
1,1024,9,0.002
1,1024,10,0.002
1,1024,11,0.002
1,1024,12,0.002
1,1024,13,0.002
1,1024,14,0.002
1,1024,15,0.002
1,1024,16,0.002
1,1024,17,0.003
1,1024,18,0.003
1,1024,19,0.003
1,1024,20,0.003
1,1024,21,0.003
1,1024,22,0.003
1,1024,23,0.003
1,1024,24,0.004
1,1024,25,0.004
1,1024,26,0.004
1,1024,27,0.004
1,1024,28,0.004
1,1024,29,0.004
1,1024,30,0.004
1,1024,31,0.004
1,1024,32,0.005
