is_concurrent,pop_size,num_species,mean_s_step_mean,speedup
0,7168,20,0.045,6.161
0,7168,21,0.047,6.359
0,7168,22,0.050,6.673
0,7168,23,0.052,6.835
0,7168,24,0.054,7.082
0,7168,25,0.056,7.234
0,7168,26,0.059,7.440
0,7168,27,0.061,6.553
0,7168,28,0.063,6.299
0,7168,29,0.065,6.415
0,7168,30,0.068,6.505
0,7168,31,0.070,6.655
0,7168,32,0.072,6.733
0,8192,1,0.003,1.001
0,8192,2,0.005,1.961
0,8192,3,0.008,2.906
0,8192,4,0.010,3.508
0,8192,5,0.013,4.342
0,8192,6,0.015,5.140
0,8192,7,0.018,4.645
0,8192,8,0.021,5.253
0,8192,9,0.023,5.847
0,8192,10,0.026,6.209
0,8192,11,0.028,6.581
0,8192,12,0.031,6.778
0,8192,13,0.033,4.608
0,8192,14,0.036,4.657
0,8192,15,0.039,4.902
0,8192,16,0.041,5.178
0,8192,17,0.044,5.394
0,8192,18,0.047,5.707
0,8192,19,0.049,5.978
0,8192,20,0.052,6.193
0,8192,21,0.054,6.491
0,8192,22,0.057,6.713
0,8192,23,0.060,7.053
0,8192,24,0.062,7.168
0,8192,25,0.065,5.808
0,8192,26,0.068,5.864
0,8192,27,0.070,5.988
0,8192,28,0.073,6.144
0,8192,29,0.075,6.271
0,8192,30,0.078,6.463
0,8192,31,0.081,6.618
0,8192,32,0.083,6.755
