is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,2048,1,0.00105095
0,0,2048,9,0.00781727
0,0,2048,17,0.0145279
0,0,2048,25,0.0212024
0,0,2048,33,0.0280547
0,0,2048,41,0.034882
0,0,2048,49,0.0417385
0,0,2048,57,0.0485807
0,0,2048,65,0.0553825
0,0,2048,73,0.0621894
0,0,2048,81,0.0690019
0,0,2048,89,0.0761904
0,0,2048,97,0.0826855
0,0,2048,105,0.0894234
0,0,2048,113,0.0962775
0,0,2048,121,0.103376
0,0,4096,1,0.00160768
0,0,4096,9,0.0141773
0,0,4096,17,0.0267844
0,0,4096,25,0.0394032
0,0,4096,33,0.0520289
0,0,4096,41,0.0645962
0,0,4096,49,0.0772229
0,0,4096,57,0.0898079
0,0,4096,65,0.102631
0,0,4096,73,0.115555
0,0,4096,81,0.128687
0,0,4096,89,0.141855
0,0,4096,97,0.154974
0,0,4096,105,0.168018
0,0,4096,113,0.181077
0,0,4096,121,0.194138
0,0,6144,1,0.00241873
0,0,6144,9,0.0214473
0,0,6144,17,0.0404659
0,0,6144,25,0.0595262
0,0,6144,33,0.0785215
0,0,6144,41,0.0976002
0,0,6144,49,0.117172
0,0,6144,57,0.137213
0,0,6144,65,0.156567
0,0,6144,73,0.176082
0,0,6144,81,0.195922
0,0,6144,89,0.215666
0,0,6144,97,0.235441
0,0,6144,105,0.255955
0,0,6144,113,0.274701
0,0,6144,121,0.294755
0,0,8192,1,0.00313117
0,0,8192,9,0.0278563
0,0,8192,17,0.0525911
0,0,8192,25,0.0774117
0,0,8192,33,0.102433
0,0,8192,41,0.128103
0,0,8192,49,0.153826
0,0,8192,57,0.17968
0,0,8192,65,0.205443
0,0,8192,73,0.231173
0,0,8192,81,0.256949
0,0,8192,89,0.283359
0,0,8192,97,0.309349
0,0,8192,105,0.335065
0,0,8192,113,0.360987
0,0,8192,121,0.386802
0,1,2048,1,0.000902498
0,1,2048,9,0.00772865
0,1,2048,17,0.0145343
0,1,2048,25,0.0212018
0,1,2048,33,0.0281172
0,1,2048,41,0.0349508
0,1,2048,49,0.042335
0,1,2048,57,0.0491464
0,1,2048,65,0.0559847
0,1,2048,73,0.0627956
0,1,2048,81,0.0695739
0,1,2048,89,0.0768383
0,1,2048,97,0.083296
0,1,2048,105,0.0900765
0,1,2048,113,0.0969572
0,1,2048,121,0.104042
0,1,4096,1,0.00162056
0,1,4096,9,0.0141866
0,1,4096,17,0.0268014
0,1,4096,25,0.0394509
0,1,4096,33,0.0520707
0,1,4096,41,0.0646915
0,1,4096,49,0.0773128
0,1,4096,57,0.0899385
0,1,4096,65,0.102714
0,1,4096,73,0.11576
0,1,4096,81,0.128794
0,1,4096,89,0.142118
0,1,4096,97,0.155088
0,1,4096,105,0.168229
0,1,4096,113,0.181206
0,1,4096,121,0.194409
0,1,6144,1,0.00243231
0,1,6144,9,0.0214844
0,1,6144,17,0.0405473
0,1,6144,25,0.0596408
0,1,6144,33,0.0786536
0,1,6144,41,0.0977542
0,1,6144,49,0.117371
0,1,6144,57,0.137081
0,1,6144,65,0.156951
0,1,6144,73,0.176707
0,1,6144,81,0.196567
0,1,6144,89,0.2164
0,1,6144,97,0.236199
0,1,6144,105,0.256038
0,1,6144,113,0.27588
0,1,6144,121,0.295531
0,1,8192,1,0.00314171
0,1,8192,9,0.0279546
0,1,8192,17,0.0527845
0,1,8192,25,0.0776579
0,1,8192,33,0.102739
0,1,8192,41,0.128476
0,1,8192,49,0.154292
0,1,8192,57,0.180144
0,1,8192,65,0.207002
0,1,8192,73,0.232047
0,1,8192,81,0.257686
0,1,8192,89,0.283524
0,1,8192,97,0.309284
0,1,8192,105,0.335234
0,1,8192,113,0.360969
0,1,8192,121,0.386763
0,2,2048,1,0.000902343
0,2,2048,9,0.00771245
0,2,2048,17,0.0145348
0,2,2048,25,0.0212376
0,2,2048,33,0.028106
0,2,2048,41,0.0349267
0,2,2048,49,0.0417717
0,2,2048,57,0.0485506
0,2,2048,65,0.0553905
0,2,2048,73,0.0622106
0,2,2048,81,0.0690486
0,2,2048,89,0.0762231
0,2,2048,97,0.0826461
0,2,2048,105,0.08947
0,2,2048,113,0.0963578
0,2,2048,121,0.103499
0,2,4096,1,0.0016205
0,2,4096,9,0.0141894
0,2,4096,17,0.0268169
0,2,4096,25,0.0394609
0,2,4096,33,0.0520801
0,2,4096,41,0.0647124
0,2,4096,49,0.0773232
0,2,4096,57,0.0899346
0,2,4096,65,0.102655
0,2,4096,73,0.115691
0,2,4096,81,0.128489
0,2,4096,89,0.141547
0,2,4096,97,0.154515
0,2,4096,105,0.16763
0,2,4096,113,0.181395
0,2,4096,121,0.193792
0,2,6144,1,0.00241176
0,2,6144,9,0.021382
0,2,6144,17,0.0403886
0,2,6144,25,0.0594013
